model_type,pretrained_seed,fold,downstream_seed,LR,weight_decay,best_epoch,val_ECE_mean,val_auprc_mean,val_auroc_mean,val_average_precision_mean,val_balanced_accuracy_mean,val_f1_mean,val_loss,val_mcc_mean,val_optimal_threshold_mean,val_pos_lr_mean,val_ppv_mean,val_precision_mean,val_recall_mean,val_sensitivity_mean,val_specificity_mean,val_supervised_loss
Soft_Clip_with_Frozen_Teacher,0,1,0,1e-05,0.1,161,0.12045629322528839,0.7334325909614563,0.6017857193946838,0.7334325909614563,0.5964285731315613,0.6824644804000854,0.7523130178451538,0.18596933782100677,0.627640426158905,1.4285714626312256,0.7272727489471436,0.7272727489471436,0.6428571343421936,0.6428571343421936,0.550000011920929,0.7523130178451538
Soft_Clip_with_Frozen_Teacher,0,1,0,1e-05,1.0,286,0.13220174610614777,0.7697716355323792,0.6446428298950195,0.7697716355323792,0.619940459728241,0.7297297120094299,0.7042951583862305,0.2381158024072647,0.5970274209976196,1.4963054656982422,0.7363636493682861,0.7363636493682861,0.7232142686843872,0.7232142686843872,0.5166666507720947,0.7042951583862305
Soft_Clip_with_Frozen_Teacher,0,1,0,0.0005,0.0,42,0.09385299682617188,0.8407362103462219,0.7366071343421936,0.8407362103462219,0.6928571462631226,0.6629834175109863,0.6333273649215698,0.37506556510925293,0.7783032059669495,3.5714285373687744,0.8695651888847351,0.8695651888847351,0.5357142686843872,0.5357142686843872,0.8500000238418579,0.6333273649215698
Soft_Clip_with_Frozen_Teacher,0,1,0,0.0005,0.01,27,0.09922026097774506,0.8201364874839783,0.684374988079071,0.8201364874839783,0.6470237970352173,0.7115384340286255,0.6483668088912964,0.282201886177063,0.660210907459259,1.801948070526123,0.7708333134651184,0.7708333134651184,0.6607142686843872,0.6607142686843872,0.6333333253860474,0.6483668088912964
Soft_Clip_with_Frozen_Teacher,0,1,0,0.0005,0.1,39,0.07772786170244217,0.8538901805877686,0.7372024059295654,0.8538901805877686,0.6863095164299011,0.6910994648933411,0.603871762752533,0.3563646972179413,0.7342377305030823,2.719780206680298,0.8354430198669434,0.8354430198669434,0.5892857313156128,0.5892857313156128,0.7833333611488342,0.603871762752533
Soft_Clip_with_Frozen_Teacher,0,1,0,0.0005,1.0,18,0.12287789583206177,0.831928551197052,0.7047619223594666,0.831928551197052,0.680059552192688,0.7767857313156128,0.6235811710357666,0.3601190447807312,0.5250397324562073,1.8642857074737549,0.7767857313156128,0.7767857313156128,0.7767857313156128,0.7767857313156128,0.5833333134651184,0.6235811710357666
Soft_Clip_with_Frozen_Teacher,0,1,0,5e-05,0.0,105,0.12776882946491241,0.7853434085845947,0.6674107313156128,0.7853434085845947,0.644345223903656,0.7314814925193787,0.7183725237846375,0.2814141809940338,0.5811977386474609,1.6928571462631226,0.7596153616905212,0.7596153616905212,0.7053571343421936,0.7053571343421936,0.5833333134651184,0.7183725237846375
Soft_Clip_with_Frozen_Teacher,0,1,0,5e-05,0.01,93,0.12024175375699997,0.8030580878257751,0.6752976179122925,0.8030580878257751,0.6505952477455139,0.6338797807693481,0.7038726210594177,0.2915654182434082,0.7615326642990112,2.3901097774505615,0.8169013857841492,0.8169013857841492,0.5178571343421936,0.5178571343421936,0.7833333611488342,0.7038726210594177
Soft_Clip_with_Frozen_Teacher,0,1,0,5e-05,0.1,62,0.0961575135588646,0.7776020765304565,0.6395833492279053,0.7776020765304565,0.6380952596664429,0.6990291476249695,0.7092868089675903,0.2644125819206238,0.6443496346473694,1.753246784210205,0.7659574747085571,0.7659574747085571,0.6428571343421936,0.6428571343421936,0.6333333253860474,0.7092868089675903
Soft_Clip_with_Frozen_Teacher,0,1,0,5e-05,1.0,67,0.1324414312839508,0.7872745990753174,0.6440476179122925,0.7872745990753174,0.6214285492897034,0.5333333611488342,0.7010599374771118,0.2506825625896454,0.8200390338897705,2.6190476417541504,0.8301886916160583,0.8301886916160583,0.3928571343421936,0.3928571343421936,0.8500000238418579,0.7010599374771118
