roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100,fold,n_train,n_val,threshold,best_penalty,best_C,best_solver,best_inner_score,feature,seed
0.6449397590361446,0.6622338781202447,0.6065573770491803,0.6785714285714286,0.590843373493976,0.1935198180139828,0.76,0.4216867469879518,0.6129032258064516,1.3141666666666667,0.0,1,684,183,0.4335141731154657,l2,0.0001,liblinear,0.6798038503780196,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,1
0.7098007098007099,0.733729792755037,0.6416184971098265,0.6352941176470588,0.6578624078624078,0.3175505836994862,0.5454545454545454,0.7702702702702703,0.7605633802816901,2.374331550802139,0.0202020202020202,2,694,173,0.508490566881351,l2,0.0001,liblinear,0.6657094690424895,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,1
0.704415137614679,0.7552866278199282,0.7167630057803468,0.776255707762557,0.6945957568807339,0.3904810663573912,0.7798165137614679,0.609375,0.7727272727272727,1.9963302752293577,0.0,3,694,173,0.4925391839967896,l1,0.01,liblinear,0.6817805166458388,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,1
0.6820101351351352,0.755816724851194,0.6228571428571429,0.6826923076923077,0.6166948198198199,0.2261517128261133,0.6396396396396397,0.59375,0.7319587628865979,1.5744975744975744,0.054054054054054,4,692,175,0.5122260905080472,l2,0.0001,liblinear,0.6688081250522283,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,1
0.6487035301468291,0.6875426652837029,0.6687116564417178,0.7352941176470589,0.6441736957200874,0.2980491992943903,0.7731958762886598,0.5151515151515151,0.7009345794392523,1.594716494845361,0.0103092783505154,5,704,163,0.4893937525150991,l1,0.01,liblinear,0.6665517359803517,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,1
0.63710407239819,0.6786937825069931,0.582010582010582,0.639269406392694,0.5718325791855203,0.14642418263734,0.6730769230769231,0.4705882352941176,0.6086956521739131,1.2713675213675215,0.0192307692307692,1,678,189,0.5100465437478029,l2,0.0001,lbfgs,0.6700913553336242,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,2
0.6468571428571429,0.6666428212357329,0.675,0.7153284671532847,0.6699999999999999,0.33754960418557,0.7,0.64,0.7313432835820896,1.9444444444444444,0.0,2,747,120,0.504279884523594,l2,0.0001,liblinear,0.6933188483518048,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,2
0.7013991769547325,0.7145217943933184,0.6622222222222223,0.6910569105691057,0.6703703703703704,0.3338860598371623,0.6296296296296297,0.7111111111111111,0.7657657657657657,2.17948717948718,0.0,3,642,225,0.4952083407907884,l2,0.0001,liblinear,0.6537481409184265,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,2
0.6727941176470588,0.7434487580232694,0.6506024096385542,0.7211538461538461,0.6254595588235294,0.2542115430139903,0.7352941176470589,0.515625,0.7075471698113207,1.5180265654648957,0.0784313725490196,4,701,166,0.4982831103185713,l2,0.0001,liblinear,0.6759165112921384,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,2
0.6912442396313364,0.7527438971817524,0.6586826347305389,0.7219512195121951,0.6427035330261137,0.2813311451697857,0.7047619047619048,0.5806451612903226,0.74,1.6805860805860808,0.0,5,700,167,0.4815139927510916,l2,0.0001,liblinear,0.664660264433167,GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,2
