feature,pairwise_accuracy,both_correct_rate,n_pairs_dist1,pairwise_acc_dist1,both_correct_dist1,n_pairs_dist2,pairwise_acc_dist2,both_correct_dist2,per_drug_accuracy,per_drug_balanced_accuracy,per_drug_f1_macro,per_drug_f1_weighted,per_drug_mae,per_drug_adjacent_accuracy,per_drug_roc_auc_macro_ovr,per_drug_roc_auc_weighted_ovr
GNN_Vanilla_Clip_with_VAE_seed2_second_fc,0.5166666666666667,0.1666666666666666,7.0,0.7142857142857143,0.2857142857142857,5.0,0.24000000000000005,0.0,0.523076923076923,0.473015873015873,0.45122778456111784,0.5216305062458909,0.5461538461538462,0.9307692307692308,0.5879661274398116,0.6109679793890319
GNN_Vanilla_Clip_without_VAE_seed0_GNN,0.5833333333333334,0.0833333333333333,7.0,0.7142857142857143,0.1428571428571428,5.0,0.4,0.0,0.4615384615384615,0.3174603174603174,0.2972222222222222,0.4323717948717949,0.6538461538461539,0.8846153846153847,0.3958114984430774,0.47662863452337134
GNN_Vanilla_Clip_without_VAE_seed0_first_fc,0.6666666666666666,0.0833333333333333,7.0,0.5714285714285714,0.1428571428571428,5.0,0.8,0.0,0.4615384615384615,0.3174603174603174,0.2983870967741935,0.439516129032258,0.6153846153846154,0.9230769230769231,0.4565124933545987,0.48748619801251375
GNN_Vanilla_Clip_without_VAE_seed0_second_fc,0.75,0.0833333333333333,7.0,0.8571428571428571,0.1428571428571428,5.0,0.6,0.0,0.3846153846153846,0.3341269841269841,0.3333333333333333,0.3942307692307692,0.7692307692307693,0.8461538461538461,0.5314365459102302,0.5357931542142068
GNN_Vanilla_Clip_without_VAE_seed1_GNN,0.8,0.13333333333333328,7.0,0.9714285714285715,0.22857142857142856,5.0,0.5599999999999999,0.0,0.49230769230769234,0.41666666666666663,0.42781158440387657,0.49806001976387365,0.5769230769230769,0.9307692307692308,0.46581795397584863,0.5345417740154582
GNN_Vanilla_Clip_without_VAE_seed1_first_fc,0.6166666666666667,0.03333333333333332,7.0,0.7428571428571429,0.05714285714285714,5.0,0.44000000000000006,0.0,0.4692307692307692,0.3269841269841269,0.3187739463601532,0.4696728558797524,0.6,0.9307692307692308,0.46329915698336743,0.5323150533676848
GNN_Vanilla_Clip_without_VAE_seed1_second_fc,0.75,0.0833333333333333,7.0,1.0,0.1428571428571428,5.0,0.4,0.0,0.5,0.4261904761904762,0.4271708683473389,0.509857789269554,0.5769230769230769,0.9230769230769231,0.6014050277208172,0.6159366948840632
GNN_Vanilla_Clip_without_VAE_seed2_GNN,0.6166666666666667,0.13333333333333328,7.0,0.7142857142857143,0.22857142857142856,5.0,0.4800000000000001,0.0,0.48461538461538456,0.4376190476190477,0.43519196852530184,0.493143608528224,0.5923076923076922,0.9230769230769231,0.4999529125844916,0.5549503128450497
GNN_Vanilla_Clip_without_VAE_seed2_first_fc,0.5666666666666667,0.049999999999999975,7.0,0.6,0.08571428571428567,5.0,0.52,0.0,0.4615384615384615,0.4436507936507936,0.419025641025641,0.4740828402366864,0.7076923076923076,0.8307692307692308,0.5586659831396673,0.574953993375046
GNN_Vanilla_Clip_without_VAE_seed2_second_fc,0.6333333333333333,0.13333333333333328,7.0,0.8285714285714285,0.22857142857142856,5.0,0.36,0.0,0.45384615384615384,0.4860317460317461,0.4360897982381358,0.4689487835267886,0.7461538461538462,0.8,0.5812683223209538,0.5759661391240339
MoLFormer-XL-both-10pct,0.3166666666666667,0.21666666666666665,7.0,0.3428571428571428,0.37142857142857133,5.0,0.28,0.0,0.5615384615384615,0.5992063492063492,0.5523513523513524,0.5629242552319476,0.6307692307692309,0.8076923076923077,0.6310541505278346,0.5948840633051159
